,Hütten-Name,Datum,Freie Betten,Hütten-ID
0,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",05.05.2022,10,1
1,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",06.05.2022,10,1
2,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",07.05.2022,10,1
3,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",08.05.2022,10,1
4,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",09.05.2022,10,1
5,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",10.05.2022,0,1
6,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",11.05.2022,0,1
7,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",12.05.2022,0,1
8,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",28.05.2022,0,1
9,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",29.05.2022,10,1
10,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",30.05.2022,10,1
11,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",31.05.2022,10,1
12,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",01.06.2022,10,1
13,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",02.06.2022,10,1
14,"Glecksteinhütte SAC, SAC Burgdorf",20.05.2022,8,2
15,"Glecksteinhütte SAC, SAC Burgdorf",21.05.2022,10,2
16,"Glecksteinhütte SAC, SAC Burgdorf",22.05.2022,10,2
17,"Glecksteinhütte SAC, SAC Burgdorf",23.05.2022,10,2
18,"Glecksteinhütte SAC, SAC Burgdorf",24.05.2022,10,2
19,"Glecksteinhütte SAC, SAC Burgdorf",25.05.2022,10,2
20,"Glecksteinhütte SAC, SAC Burgdorf",26.05.2022,10,2
21,"Glecksteinhütte SAC, SAC Burgdorf",27.05.2022,10,2
22,"Glecksteinhütte SAC, SAC Burgdorf",28.05.2022,10,2
23,"Glecksteinhütte SAC, SAC Burgdorf",29.05.2022,10,2
24,"Glecksteinhütte SAC, SAC Burgdorf",30.05.2022,10,2
25,"Glecksteinhütte SAC, SAC Burgdorf",31.05.2022,10,2
26,"Glecksteinhütte SAC, SAC Burgdorf",01.06.2022,10,2
27,"Glecksteinhütte SAC, SAC Burgdorf",02.06.2022,7,2
